qId,opOne,opTwo,opThree,correct,dataName,dataId,type,contrast,group,cc
Q1_25,Neighbourhoods (buurten) of Amsterdam,Soil quality in Amsterdam,Parking zones in Amsterdam,Neighbourhoods (buurten) of Amsterdam,Neighbourhoods (buurten) of Amsterdam,Q2_25,LA-COV,COV-LA,COVLA,object
Q1_26,25 practice areas of Amsterdam,Landuse types in Amsterdam,Soil quality in Amsterdam,25 practice areas of Amsterdam,25 practice areas of Amsterdam,Q2_26,LA-COV,COV-LA,COVLA,object
Q1_27,4-digit postcode areas of Amsterdam,Parking zones in Amsterdam,Landuse types in Amsterdam,4-digit postcode areas of Amsterdam,4-digit postcode areas of Amsterdam,Q2_27,LA-COV,COV-LA,COVLA,object
Q1_28,Soil quality in Amsterdam,25 practice areas of Amsterdam,Neighbourhoods (buurten) of Amsterdam,Soil quality in Amsterdam,Soil quality in Amsterdam,Q2_28,COV-LA,LA-COV,COVLA,field
Q1_29,Landuse types in Amsterdam,4-digit postcode areas of Amsterdam,25 practice areas of Amsterdam,Landuse types in Amsterdam,Landuse types in Amsterdam,Q2_29,COV-LA,LA-COV,COVLA,field
Q1_30,Parking zones in Amsterdam,Neighbourhoods (buurten) of Amsterdam,4-digit postcode areas of Amsterdam,Parking zones in Amsterdam,Parking zones in Amsterdam,Q2_30,COV-LA,LA-COV,COVLA,field
Q1_31,Dwelling distribution,Map of soil types,Digital elevation model,Dwelling distribution,Dwelling distribution,Q2_31,SL-RF,RF-SL,RFSL,object
Q1_32,Population at residences place,Areas with potential heat stress during summer days,Map of soil types,Population at residences place,Population at residences place,Q2_32,SL-RF,RF-SL,RFSL,object
Q1_33,Gross Domestic Product of the world in 2010,Digital elevation model,Areas with potential heat stress during summer days,Gross Domestic Product of the world in 2010,Gross Domestic Product of the world in 2010,Q2_33,SL-RF,RF-SL,RFSL,object
Q1_34,Map of soil types,Population at residences place,Dwelling distribution,Map of soil types,Map of soil types,Q2_34,RF-SL,SL-RF,RFSL,field
Q1_35,Digital elevation model,Dwelling distribution,Gross Domestic Product of the world in 2010,Digital elevation model,Digital elevation model,Q2_35,RF-SL,SL-RF,RFSL,field
Q1_36,Areas with potential heat stress during summer days,Gross Domestic Product of the world in 2010,Population at residences place,Areas with potential heat stress during summer days,Areas with potential heat stress during summer days,Q2_36,RF-SL,SL-RF,RFSL,field
